ModType,Name,Variable,Type,Smiles,SmartsReaction
glyc,b-D-GalNAc,n_bdgalnac,n,O[C@H](O1)[C@H](NC(C)=O)[C@@H](O)[C@@H](O)[C@H]1CO,[CX4H2:1][CX3:2](=[O:3])[N:4].[O][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[C:1][C:2](=[O:3])[N:4][C:5][O:6][C:7][C:8][O:9]
glyc,b-D-ManNAc,n_bdmannac,n,O[C@H](O1)[C@@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1CO,[CX4H2:1][CX3:2](=[O:3])[N:4].[O][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[C:1][C:2](=[O:3])[N:4][C:5][O:6][C:7][C:8][O:9]
glyc,a-D-Glc,o_adglc,o,O[C@@H](O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,"[NX3:1][CX4:2][CX4H,CX4H2:3][OH].[O:4][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[N:1][C:2][C:3][O:4][C:5][O:6][C:7][C:8][O:9]"
glyc,a-D-Gal,o_adgal,o,O[C@@H](O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,"[NX3:1][CX4:2][CX4H,CX4H2:3][OH].[O:4][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[N:1][C:2][C:3][O:4][C:5][O:6][C:7][C:8][O:9]"
glyc,a-D-Man,o_adman,o,O[C@@H](O1)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1CO,"[NX3:1][CX4:2][CX4H,CX4H2:3][OH].[O:4][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[N:1][C:2][C:3][O:4][C:5][O:6][C:7][C:8][O:9]"
glyc,a-D-GlcNAc,o_adglcnac,o,O[C@@H](O1)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1CO,"[NX3:1][CX4:2][CX4H,CX4H2:3][OH].[O:4][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[N:1][C:2][C:3][O:4][C:5][O:6][C:7][C:8][O:9]"
glyc,a-D-GalNAc,o_adgalnac,o,O[C@@H](O1)[C@H](NC(C)=O)[C@@H](O)[C@@H](O)[C@H]1CO,"[NX3:1][CX4:2][CX4H,CX4H2:3][OH].[O:4][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[N:1][C:2][C:3][O:4][C:5][O:6][C:7][C:8][O:9]"
glyc,a-D-ManNAc,o_admannac,o,O[C@@H](O1)[C@@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1CO,"[NX3:1][CX4:2][CX4H,CX4H2:3][OH].[O:4][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[N:1][C:2][C:3][O:4][C:5][O:6][C:7][C:8][O:9]"
glyc,b-D-Glc,o_bdglc,o,O[C@H](O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,"[NX3:1][CX4:2][CX4H,CX4H2:3][OH].[O:4][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[N:1][C:2][C:3][O:4][C:5][O:6][C:7][C:8][O:9]"
glyc,b-D-Gal,o_bdgal,o,O[C@H](O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1CO,"[NX3:1][CX4:2][CX4H,CX4H2:3][OH].[O:4][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[N:1][C:2][C:3][O:4][C:5][O:6][C:7][C:8][O:9]"
glyc,b-D-Man,o_bdman,o,O[C@H](O1)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1CO,"[NX3:1][CX4:2][CX4H,CX4H2:3][OH].[O:4][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[N:1][C:2][C:3][O:4][C:5][O:6][C:7][C:8][O:9]"
glyc,b-D-GlcNAc,o_bdglcnac,o,O[C@H](O1)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1CO,"[NX3:1][CX4:2][CX4H,CX4H2:3][OH].[O:4][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[N:1][C:2][C:3][O:4][C:5][O:6][C:7][C:8][O:9]"
glyc,b-D-GalNAc,o_bdgalnac,o,O[C@H](O1)[C@H](NC(C)=O)[C@@H](O)[C@@H](O)[C@H]1CO,"[NX3:1][CX4:2][CX4H,CX4H2:3][OH].[O:4][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[N:1][C:2][C:3][O:4][C:5][O:6][C:7][C:8][O:9]"
glyc,b-D-ManNAc,o_bdmannac,o,O[C@H](O1)[C@@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1CO,"[NX3:1][CX4:2][CX4H,CX4H2:3][OH].[O:4][CX4H:5][O:6][CX4H:7][CX4H2:8][O:9]>>[N:1][C:2][C:3][O:4][C:5][O:6][C:7][C:8][O:9]"
